nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,store,place_id.1,nama_kelurahan,nama_kecamatan,nama_kota,nomor
alfamart fatmawati 4,3.7,24,-6.2799761,106.79663,"jl. rs. fatmawati raya no.4, rt.3/rw.10, cilandak bar., kota jakarta selatan",ChIJY8eo0erxaS4R661fqNiVJsw,Alfamart,ChIJY8eo0erxaS4R661fqNiVJsw,Cilandak Barat,Cilandak,Kota Jakarta Selatan,47
alfamart,4.1,101,-6.303783,106.7814079,"jl. karang tengah raya no.kel, rt.6/rw.4, lb. bulus, kota jakarta selatan",ChIJQfRfkSjuaS4RAiYQMIXjONI,Alfamart,ChIJQfRfkSjuaS4RAiYQMIXjONI,Lebak Bulus,Cilandak,Kota Jakarta Selatan,48
alfamart,3.8,16,-6.2776194,106.801396,"jl. cipete raya no.6, rt.6/rw.3 kel, cipete sel., kota jakarta selatan",ChIJvyXGa5PxaS4RGwSTqw4eyNI,Alfamart,ChIJvyXGa5PxaS4RGwSTqw4eyNI,Cipete Selatan,Cilandak,Kota Jakarta Selatan,49
alfamart pos fatmawati(1m1f),0.0,0,-6.2943276,106.7947017,"jl. rs. fatmawati raya no.10, rt.2/rw.4, cilandak bar., kota jakarta selatan",ChIJ07uYzrfxaS4RVVcyUC4vxQI,Alfamart,ChIJ07uYzrfxaS4RVVcyUC4vxQI,Cilandak Barat,Cilandak,Kota Jakarta Selatan,50
sumber alfaria trijaya. pt (alfamart),1.0,2,-6.3065871,106.7813887,"jl. karang tengah raya no.29, rt.6/rw.4, lb. bulus, kota jakarta selatan",ChIJeZ_0Qy_uaS4RxNoVOQP_Nyc,Alfamart,ChIJeZ_0Qy_uaS4RxNoVOQP_Nyc,Lebak Bulus,Cilandak,Kota Jakarta Selatan,51
alfamart pondok labu,4.4,83,-6.3050746,106.794028,"jl. pd. labu 1 no.40, rt.2/rw.7, pd. labu, kota jakarta selatan",ChIJ38bENAvvaS4R1LdbC5p-uDE,Alfamart,ChIJ38bENAvvaS4R1LdbC5p-uDE,Pondok Labu,Cilandak,Kota Jakarta Selatan,52
alfamart,4.3,11,-6.3101879,106.7901479,"jl. h. ipin kel no.45 - a, rt.11/rw.1, pd. labu, kota jakarta selatan",ChIJk3cbNCPuaS4RrWMFJhBGcY0,Alfamart,ChIJk3cbNCPuaS4RrWMFJhBGcY0,Pondok Labu,Cilandak,Kota Jakarta Selatan,53
alfamart,4.6,5,-6.2962773,106.7897248,"jl. lebak bulus 1 rt 3/4 kel, rt.3/rw.4, cilandak bar., kota jakarta selatan",ChIJCx-hv97xaS4R-d86cMw_-Vs,Alfamart,ChIJCx-hv97xaS4R-d86cMw_-Vs,Cilandak Barat,Cilandak,Kota Jakarta Selatan,54
bright by alfamart,0.0,0,-6.3037727,106.7821517,"jl. karang tengah raya no.71, rt.7/rw.4, lb. bulus, kota jakarta selatan",ChIJx7rEgOnvaS4REZVEtk4z2X4,Alfamart,ChIJx7rEgOnvaS4REZVEtk4z2X4,Lebak Bulus,Cilandak,Kota Jakarta Selatan,55
alfamart,3.8,23,-6.2822937,106.7923652,"jl. terogong raya no.kel, rt.9/rw.10, cilandak bar., kota jakarta selatan",ChIJh6MqthnxaS4RX-VZKA02g-s,Alfamart,ChIJh6MqthnxaS4RX-VZKA02g-s,Cilandak Barat,Cilandak,Kota Jakarta Selatan,56
